time_stamp	torque_joint_1	torque_joint_2	torque_joint_3	torque_joint_4	torque_joint_5	torque_joint_6	torque_joint_7	temperature_1	temperature_2	temperature_3	temperature_4	temperature_5	temperature_6	temperature_7
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.210938	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.046875	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.210938	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.046875	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.210938	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0546875	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	40	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	40	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	40	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	40	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	40	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0546875	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.210938	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.109375	0.0234375	-0.0625	-0.210938	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.015625	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	62	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0546875	-0.203125	0.0390625	41	65	49	39	43	62	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	62	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	62	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.046875	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.109375	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.109375	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.210938	0.046875	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0546875	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0546875	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.046875	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.210938	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.046875	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.21875	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	37
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
1.50428e+09	0.046875	-0.226562	-0.117188	0.0234375	-0.0625	-0.203125	0.0390625	41	65	49	39	43	63	36
